algorithm,hits,hr,time,batch_size,test_size,test_interactions
LinUCB (incremental),548,0.1043809523809523,2.590950727462769,1000.0,0.55,5250
LinGreedy (incremental),559,0.1064761904761904,2.4906575679779053,1000.0,0.55,5250
ALS,973,0.1680773881499395,1.76560378074646,,0.6,5789
LinUCB (non_incremental),390,0.0673691483848678,0.9071156978607178,,0.6,5789
LinGreedy (non_incremental),465,0.0803247538434962,0.771061897277832,,0.6,5789
LinUCB (incremental),473,0.0817066850924166,996.9989428520204,1.0,0.6,5789
LinGreedy (incremental),544,0.0939713249265849,958.3790557384492,1.0,0.6,5789
LinUCB (incremental),687,0.1186733460010364,222.651780128479,5.0,0.6,5789
LinGreedy (incremental),725,0.1252375194334082,215.12940216064453,5.0,0.6,5789
LinUCB (incremental),721,0.124546553808948,119.66754245758057,10.0,0.6,5789
LinGreedy (incremental),763,0.1318016928657799,112.0282473564148,10.0,0.6,5789
LinUCB (incremental),724,0.1250647780272931,17.66707444190979,100.0,0.6,5789
LinGreedy (incremental),739,0.1276558991190188,16.249812841415405,100.0,0.6,5789
LinUCB (incremental),625,0.1079633788219036,2.863730192184448,1000.0,0.6,5789
LinGreedy (incremental),605,0.1045085506996027,2.728074312210083,1000.0,0.6,5789
ALS,998,0.1579113924050633,1.902858018875122,,0.65,6320
LinUCB (non_incremental),349,0.0552215189873417,1.059902906417847,,0.65,6320
LinGreedy (non_incremental),441,0.0697784810126582,0.8495028018951416,,0.65,6320
LinUCB (incremental),522,0.0825949367088607,1081.1383233070374,1.0,0.65,6320
LinGreedy (incremental),594,0.0939873417721519,1040.9738376140594,1.0,0.65,6320
LinUCB (incremental),714,0.1129746835443038,242.22021675109863,5.0,0.65,6320
LinGreedy (incremental),775,0.122626582278481,230.18652296066284,5.0,0.65,6320
LinUCB (incremental),761,0.1204113924050633,129.4061872959137,10.0,0.65,6320
LinGreedy (incremental),767,0.1213607594936708,121.30402827262878,10.0,0.65,6320
