algorithm,hits,hr,time,factors,test_size,test_interactions
LinGreedy (incremental),8,0.0267558528428093,12.711575031280518,128.0,0.05,299
ALS,26,0.0869565217391304,0.2171034812927246,256.0,0.05,299
LinUCB (non_incremental),14,0.0468227424749163,0.3020875453948974,256.0,0.05,299
LinGreedy (non_incremental),16,0.0535117056856187,0.0928690433502197,256.0,0.05,299
LinUCB (incremental),9,0.0301003344481605,30.771658897399902,256.0,0.05,299
LinGreedy (incremental),10,0.0334448160535117,24.868603229522705,256.0,0.05,299
ALS,27,0.0903010033444816,0.1968581676483154,512.0,0.05,299
LinUCB (non_incremental),12,0.040133779264214,0.8986787796020508,512.0,0.05,299
LinGreedy (non_incremental),15,0.0501672240802675,0.2191934585571289,512.0,0.05,299
LinUCB (incremental),7,0.0234113712374581,127.79557251930235,512.0,0.05,299
LinGreedy (incremental),10,0.0334448160535117,208.1746137142181,512.0,0.05,299
Random,17,0.0568561872909698,0.1025214195251464,,0.05,299
ALS,69,0.1107544141252006,0.3812940120697021,2.0,0.1,623
LinUCB (non_incremental),56,0.0898876404494382,0.1666903495788574,2.0,0.1,623
LinGreedy (non_incremental),54,0.0866773675762439,0.1440672874450683,2.0,0.1,623
LinUCB (incremental),69,0.1107544141252006,16.748790502548218,2.0,0.1,623
LinGreedy (incremental),68,0.1091492776886035,12.590243816375732,2.0,0.1,623
ALS,77,0.1235955056179775,0.2876713275909424,4.0,0.1,623
LinUCB (non_incremental),50,0.0802568218298555,0.1177597045898437,4.0,0.1,623
LinGreedy (non_incremental),49,0.0786516853932584,0.0974948406219482,4.0,0.1,623
LinUCB (incremental),66,0.1059390048154093,15.434469938278198,4.0,0.1,623
LinGreedy (incremental),66,0.1059390048154093,22.53775787353516,4.0,0.1,623
ALS,84,0.1348314606741573,0.5741355419158936,8.0,0.1,623
LinUCB (non_incremental),50,0.0802568218298555,0.2739722728729248,8.0,0.1,623
LinGreedy (non_incremental),50,0.0802568218298555,0.1564922332763672,8.0,0.1,623
LinUCB (incremental),58,0.0930979133226324,25.391492128372192,8.0,0.1,623
LinGreedy (incremental),59,0.0947030497592295,18.702589511871334,8.0,0.1,623
ALS,89,0.1428571428571428,0.3269870281219482,16.0,0.1,623
LinUCB (non_incremental),41,0.0658105939004815,0.1634321212768554,16.0,0.1,623
LinGreedy (non_incremental),39,0.0626003210272873,0.1379649639129638,16.0,0.1,623
LinUCB (incremental),43,0.0690208667736757,17.497150182724,16.0,0.1,623
LinGreedy (incremental),45,0.0722311396468699,18.935824871063232,16.0,0.1,623
ALS,64,0.102728731942215,0.8437759876251221,32.0,0.1,623
LinUCB (non_incremental),37,0.0593900481540931,0.3664443492889404,32.0,0.1,623
LinGreedy (non_incremental),34,0.0545746388443017,0.3013818264007568,32.0,0.1,623
LinUCB (incremental),33,0.0529695024077046,27.86100673675537,32.0,0.1,623
LinGreedy (incremental),33,0.0529695024077046,27.526135444641117,32.0,0.1,623
ALS,38,0.0609951845906902,0.7379353046417236,64.0,0.1,623
LinUCB (non_incremental),34,0.0545746388443017,0.3952975273132324,64.0,0.1,623
LinGreedy (non_incremental),30,0.0481540930979133,0.2468025684356689,64.0,0.1,623
LinUCB (incremental),20,0.0321027287319422,39.68772101402283,64.0,0.1,623
LinGreedy (incremental),23,0.0369181380417335,41.62946343421936,64.0,0.1,623
ALS,34,0.0545746388443017,0.7433745861053467,128.0,0.1,623
LinUCB (non_incremental),39,0.0626003210272873,0.5698966979980469,128.0,0.1,623
LinGreedy (non_incremental),39,0.0626003210272873,0.2396340370178222,128.0,0.1,623
LinUCB (incremental),21,0.0337078651685393,64.71651458740234,128.0,0.1,623
LinGreedy (incremental),22,0.0353130016051364,61.43894863128662,128.0,0.1,623
ALS,49,0.0786516853932584,0.6604268550872803,256.0,0.1,623
LinUCB (non_incremental),38,0.0609951845906902,1.492746353149414,256.0,0.1,623
LinGreedy (non_incremental),41,0.0658105939004815,0.445674180984497,256.0,0.1,623
LinUCB (incremental),17,0.0272873194221508,113.24466109275818,256.0,0.1,623
LinGreedy (incremental),16,0.0256821829855537,106.8836431503296,256.0,0.1,623
ALS,44,0.0706260032102728,0.7208647727966309,512.0,0.1,623
LinUCB (non_incremental),34,0.0545746388443017,2.319199562072754,512.0,0.1,623
LinGreedy (non_incremental),34,0.0545746388443017,0.6122896671295166,512.0,0.1,623
LinUCB (incremental),15,0.0240770465489566,294.042560338974,512.0,0.1,623
LinGreedy (incremental),15,0.0240770465489566,267.51809763908386,512.0,0.1,623
Random,30,0.0481540930979133,0.1611039638519287,,0.1,623
ALS,169,0.162032598274209,0.5830152034759521,2.0,0.15,1043
LinUCB (non_incremental),116,0.1112176414189837,0.2218861579895019,2.0,0.15,1043
LinGreedy (non_incremental),116,0.1112176414189837,0.2460486888885498,2.0,0.15,1043
LinUCB (incremental),129,0.1236816874400767,32.28347158432007,2.0,0.15,1043
LinGreedy (incremental),128,0.1227229146692233,32.318485498428345,2.0,0.15,1043
ALS,191,0.1831255992329817,0.8184490203857422,4.0,0.15,1043
LinUCB (non_incremental),104,0.099712368168744,0.2299189567565918,4.0,0.15,1043
LinGreedy (non_incremental),105,0.1006711409395973,0.1987786293029785,4.0,0.15,1043
LinUCB (incremental),135,0.1294343240651965,31.47327160835266,4.0,0.15,1043
LinGreedy (incremental),137,0.1313518696069031,29.882833003997803,4.0,0.15,1043
ALS,206,0.1975071907957814,0.4841468334197998,8.0,0.15,1043
