algorithm,hits,hr,time,factors,weighted,test_size,test_interactions
ALS,34,0.0545746388443017,0.830528974533081,256,False,0.1,623
BPR,68,0.1091492776886035,0.6908440589904785,256,True,0.1,623
BPR,69,0.1107544141252006,0.6417639255523682,256,False,0.1,623
ALS,44,0.0706260032102728,0.7556779384613037,512,True,0.1,623
ALS,37,0.0593900481540931,0.7289755344390869,512,False,0.1,623
BPR,71,0.1139646869983948,0.5903637409210205,512,True,0.1,623
BPR,71,0.1139646869983948,0.6274518966674805,512,False,0.1,623
ALS,169,0.162032598274209,0.6700558662414551,2,True,0.15,1043
ALS,207,0.1984659635666347,1.417790412902832,2,False,0.15,1043
BPR,168,0.1610738255033557,0.8386211395263672,2,True,0.15,1043
BPR,164,0.1572387344199424,0.8967924118041992,2,False,0.15,1043
ALS,191,0.1831255992329817,0.7047004699707031,4,True,0.15,1043
ALS,196,0.1879194630872483,0.9459800720214844,4,False,0.15,1043
BPR,149,0.1428571428571428,1.1663265228271484,4,True,0.15,1043
BPR,148,0.1418983700862895,0.9022455215454102,4,False,0.15,1043
ALS,206,0.1975071907957814,0.766118049621582,8,True,0.15,1043
ALS,205,0.1965484180249281,0.6980383396148682,8,False,0.15,1043
BPR,134,0.1284755512943432,1.185283660888672,8,True,0.15,1043
BPR,135,0.1294343240651965,1.07344388961792,8,False,0.15,1043
ALS,197,0.1888782358581016,0.7244889736175537,16,True,0.15,1043
ALS,186,0.1783317353787152,0.7430465221405029,16,False,0.15,1043
BPR,142,0.1361457334611697,0.8268465995788574,16,True,0.15,1043
BPR,141,0.1351869606903163,0.9497959613800048,16,False,0.15,1043
ALS,160,0.1534036433365292,0.7362627983093262,32,True,0.15,1043
ALS,142,0.1361457334611697,0.5429468154907227,32,False,0.15,1043
BPR,156,0.149568552253116,1.0886836051940918,32,True,0.15,1043
BPR,155,0.1486097794822627,1.6771917343139648,32,False,0.15,1043
ALS,96,0.0920421860019175,1.4738101959228516,64,True,0.15,1043
ALS,93,0.0891658676893576,0.9659769535064696,64,False,0.15,1043
BPR,145,0.1390220517737296,1.063124418258667,64,True,0.15,1043
BPR,146,0.1399808245445829,1.231004238128662,64,False,0.15,1043
ALS,56,0.0536912751677852,1.0900800228118896,128,True,0.15,1043
ALS,48,0.0460210930009587,0.717695951461792,128,False,0.15,1043
BPR,151,0.1447746883988494,0.9535820484161376,128,True,0.15,1043
BPR,149,0.1428571428571428,0.9616820812225342,128,False,0.15,1043
ALS,109,0.1045062320230105,1.3716912269592283,256,True,0.15,1043
ALS,96,0.0920421860019175,1.0357050895690918,256,False,0.15,1043
BPR,145,0.1390220517737296,1.3506779670715332,256,True,0.15,1043
BPR,145,0.1390220517737296,1.031792402267456,256,False,0.15,1043
ALS,110,0.1054650047938638,1.4007518291473389,512,True,0.15,1043
ALS,97,0.0930009587727708,1.1851015090942385,512,False,0.15,1043
BPR,152,0.1457334611697028,1.0049691200256348,512,True,0.15,1043
BPR,151,0.1447746883988494,0.9770479202270508,512,False,0.15,1043
ALS,334,0.2082294264339152,1.1661534309387207,2,True,0.2,1604
