algorithm,hits,hr,time,hiperparams,batch_size,test_size,test_interactions
LinGreedy (non_incremental),132,0.0822942643391521,0.3107671737670898,{'epsilon': 0.25},,0.2,1604
LinGreedy (non_incremental),99,0.061720698254364,0.3058528900146484,{'epsilon': 0.5},,0.2,1604
LinUCB (incremental),174,0.1084788029925187,38.59058499336243,{'alpha': 0.1},10.0,0.2,1604
LinUCB (incremental),162,0.1009975062344139,40.12399983406067,{'alpha': 0.5},10.0,0.2,1604
LinUCB (incremental),153,0.0953865336658354,43.98089241981506,{'alpha': 1},10.0,0.2,1604
LinUCB (incremental),132,0.0822942643391521,42.46864199638367,{'alpha': 1.5},10.0,0.2,1604
LinUCB (incremental),119,0.0741895261845386,40.98323154449463,{'alpha': 2},10.0,0.2,1604
LinGreedy (incremental),172,0.1072319201995012,39.7558376789093,{'epsilon': 0.01},10.0,0.2,1604
LinGreedy (incremental),165,0.1028678304239401,33.46737337112427,{'epsilon': 0.05},10.0,0.2,1604
LinGreedy (incremental),154,0.0960099750623441,33.78988599777222,{'epsilon': 0.1},10.0,0.2,1604
LinGreedy (incremental),139,0.0866583541147132,33.34896373748779,{'epsilon': 0.25},10.0,0.2,1604
LinGreedy (incremental),138,0.0860349127182044,41.3882622718811,{'epsilon': 0.5},10.0,0.2,1604
LinUCB (incremental),175,0.1091022443890274,4.60867166519165,{'alpha': 0.1},100.0,0.2,1604
LinUCB (incremental),161,0.1003740648379052,4.59920597076416,{'alpha': 0.5},100.0,0.2,1604
LinUCB (incremental),151,0.0941396508728179,4.6744704246521,{'alpha': 1},100.0,0.2,1604
LinUCB (incremental),132,0.0822942643391521,4.559311866760254,{'alpha': 1.5},100.0,0.2,1604
LinUCB (incremental),118,0.0735660847880299,4.562359809875488,{'alpha': 2},100.0,0.2,1604
LinGreedy (incremental),177,0.1103491271820448,5.745233535766602,{'epsilon': 0.01},100.0,0.2,1604
LinGreedy (incremental),175,0.1091022443890274,4.486027717590332,{'epsilon': 0.05},100.0,0.2,1604
LinGreedy (incremental),164,0.1022443890274314,4.291051387786865,{'epsilon': 0.1},100.0,0.2,1604
LinGreedy (incremental),163,0.1016209476309226,4.1779608726501465,{'epsilon': 0.25},100.0,0.2,1604
LinGreedy (incremental),125,0.077930174563591,4.359839200973511,{'epsilon': 0.5},100.0,0.2,1604
LinUCB (incremental),150,0.0935162094763092,0.6995255947113037,{'alpha': 0.1},1000.0,0.2,1604
LinUCB (incremental),138,0.0860349127182044,0.7571392059326172,{'alpha': 0.5},1000.0,0.2,1604
LinUCB (incremental),131,0.0816708229426434,0.7240598201751709,{'alpha': 1},1000.0,0.2,1604
LinUCB (incremental),117,0.0729426433915211,0.7077152729034424,{'alpha': 1.5},1000.0,0.2,1604
LinUCB (incremental),110,0.0685785536159601,0.7674074172973633,{'alpha': 2},1000.0,0.2,1604
LinGreedy (incremental),152,0.0947630922693266,0.6631536483764648,{'epsilon': 0.01},1000.0,0.2,1604
LinGreedy (incremental),145,0.0903990024937655,0.6771543025970459,{'epsilon': 0.05},1000.0,0.2,1604
LinGreedy (incremental),140,0.0872817955112219,0.6991989612579346,{'epsilon': 0.1},1000.0,0.2,1604
LinGreedy (incremental),132,0.0822942643391521,0.6805603504180908,{'epsilon': 0.25},1000.0,0.2,1604
LinGreedy (incremental),121,0.0754364089775561,0.7440650463104248,{'epsilon': 0.5},1000.0,0.2,1604
ALS,532,0.2515366430260047,0.8107686042785645,{},,0.25,2115
LinUCB (non_incremental),204,0.0964539007092198,0.3884463310241699,{'alpha': 0.1},,0.25,2115
LinUCB (non_incremental),195,0.0921985815602836,0.3593604564666748,{'alpha': 0.5},,0.25,2115
LinUCB (non_incremental),177,0.0836879432624113,0.3230822086334228,{'alpha': 1},,0.25,2115
LinUCB (non_incremental),164,0.0775413711583924,0.3203742504119873,{'alpha': 1.5},,0.25,2115
LinUCB (non_incremental),153,0.0723404255319148,0.3272855281829834,{'alpha': 2},,0.25,2115
LinGreedy (non_incremental),202,0.0955082742316784,0.3033041954040527,{'epsilon': 0.01},,0.25,2115
LinGreedy (non_incremental),201,0.0950354609929078,0.2865388393402099,{'epsilon': 0.05},,0.25,2115
LinGreedy (non_incremental),186,0.0879432624113475,0.2846887111663818,{'epsilon': 0.1},,0.25,2115
LinGreedy (non_incremental),161,0.0761229314420803,0.2890727519989013,{'epsilon': 0.25},,0.25,2115
LinGreedy (non_incremental),144,0.0680851063829787,0.2884490489959717,{'epsilon': 0.5},,0.25,2115
LinUCB (incremental),243,0.1148936170212766,41.720998764038086,{'alpha': 0.1},10.0,0.25,2115
LinUCB (incremental),234,0.1106382978723404,41.788084268569946,{'alpha': 0.5},10.0,0.25,2115
LinUCB (incremental),218,0.1030732860520094,41.56523513793945,{'alpha': 1},10.0,0.25,2115
LinUCB (incremental),195,0.0921985815602836,42.55268788337708,{'alpha': 1.5},10.0,0.25,2115
LinUCB (incremental),174,0.0822695035460992,41.05348610877991,{'alpha': 2},10.0,0.25,2115
LinGreedy (incremental),243,0.1148936170212766,38.76388907432556,{'epsilon': 0.01},10.0,0.25,2115
LinGreedy (incremental),239,0.1130023640661938,38.477386474609375,{'epsilon': 0.05},10.0,0.25,2115
LinGreedy (incremental),234,0.1106382978723404,38.17875003814697,{'epsilon': 0.1},10.0,0.25,2115
LinGreedy (incremental),218,0.1030732860520094,40.155505418777466,{'epsilon': 0.25},10.0,0.25,2115
LinGreedy (incremental),175,0.0827423167848699,37.93384885787964,{'epsilon': 0.5},10.0,0.25,2115
LinUCB (incremental),225,0.1063829787234042,6.209287166595459,{'alpha': 0.1},100.0,0.25,2115
LinUCB (incremental),213,0.100709219858156,6.20021390914917,{'alpha': 0.5},100.0,0.25,2115
LinUCB (incremental),194,0.091725768321513,5.96828556060791,{'alpha': 1},100.0,0.25,2115
LinUCB (incremental),182,0.0860520094562647,5.913188457489014,{'alpha': 1.5},100.0,0.25,2115
LinUCB (incremental),163,0.0770685579196217,5.846397876739502,{'alpha': 2},100.0,0.25,2115
LinGreedy (incremental),228,0.1078014184397163,5.649037837982178,{'epsilon': 0.01},100.0,0.25,2115
LinGreedy (incremental),220,0.1040189125295508,5.520155668258667,{'epsilon': 0.05},100.0,0.25,2115
LinGreedy (incremental),213,0.100709219858156,5.552133798599243,{'epsilon': 0.1},100.0,0.25,2115
LinGreedy (incremental),210,0.0992907801418439,5.653114795684815,{'epsilon': 0.25},100.0,0.25,2115
LinGreedy (incremental),175,0.0827423167848699,5.688104629516602,{'epsilon': 0.5},100.0,0.25,2115
LinUCB (incremental),214,0.1011820330969267,0.9698288440704346,{'alpha': 0.1},1000.0,0.25,2115
LinUCB (incremental),199,0.0940898345153664,1.0045380592346191,{'alpha': 0.5},1000.0,0.25,2115
LinUCB (incremental),187,0.0884160756501182,0.9524152278900146,{'alpha': 1},1000.0,0.25,2115
LinUCB (incremental),173,0.0817966903073286,1.0019447803497314,{'alpha': 1.5},1000.0,0.25,2115
LinUCB (incremental),146,0.0690307328605201,0.9749550819396972,{'alpha': 2},1000.0,0.25,2115
